Product ID,Supplier ID,Supplier Name,Contact Person,Phone,Email,Address,City,State,Postal Code,Country
31,131,Supplier EE,Logan Wright,4444444444,supplierEE@example.com,456 Oakwood Dr,Albuquerque,NM,87101,USA
32,132,Supplier FF,Avery Carter,5555555555,supplierFF@example.com,159 Pine Rd,Fresno,CA,93701,USA
33,133,Supplier GG,Chloe Hall,6666666666,supplierGG@example.com,753 Maple Ave,Kansas City,MO,64101,USA
34,134,Supplier HH,David Baker,7777777777,supplierHH@example.com,357 Oak St,Virginia Beach,VA,23450,USA
35,135,Supplier II,Ella Harris,8888888888,supplierII@example.com,852 Walnut Dr,Long Beach,CA,90801,USA
36,136,Supplier JJ,Christopher Kelly,9999999999,supplierJJ@example.com,951 Elmwood Ave,Raleigh,NC,27601,USA
37,137,Supplier KK,Emily Collins,1234567890,supplierKK@example.com,753 Grape Rd,Mesa,AZ,85201,USA
38,138,Supplier LL,Liam Rodriguez,9876543210,supplierLL@example.com,456 Orange St,Colorado Springs,CO,80901,USA
39,139,Supplier MM,Sofia Cook,5555555555,supplierMM@example.com,789 Pineapple Ln,Oakland,CA,94601,USA
40,140,Supplier NN,Matthew Hill,1111111111,supplierNN@example.com,123 Cherry Ave,Honolulu,HI,96801,USA
41,141,Supplier OO,Avery Campbell,2222222222,supplierOO@example.com,456 Oak Rd,Arlington,TX,76001,USA
42,142,Supplier PP,Harper Collins,3333333333,supplierPP@example.com,789 Maple St,Wichita,KS,67201,USA
43,143,Supplier QQ,Sophia Turner,4444444444,supplierQQ@example.com,123 Pinecone Way,Bakersfield,CA,93301,USA
44,144,Supplier RR,Lucas Martin,5555555555,supplierRR@example.com,456 Cedar Ave,Tampa,FL,33601,USA
45,145,Supplier SS,Aria Clark,6666666666,supplierSS@example.com,789 Orange Dr,Anaheim,CA,92801,USA
46,146,Supplier TT,Jack Hall,7777777777,supplierTT@example.com,123 Cherry Blossom Ln,Aurora,CO,80001,USA
47,147,Supplier UU,Isabella Lopez,8888888888,supplierUU@example.com,456 Walnut St,Santa Ana,CA,92701,USA
48,148,Supplier VV,Emma White,9999999999,supplierVV@example.com,789 Applewood Dr,St. Louis,MO,63101,USA
49,149,Supplier WW,Carter Harris,1234567890,supplierWW@example.com,123 Lemonade Blvd,Pittsburgh,PA,15201,USA
50,150,Supplier XX,Sebastian King,9876543210,supplierXX@example.com,456 Magnolia Dr,Cincinnati,OH,45201,USA
